population	plantID	Inflo	infloID	Numfl	posicionestig	Longestigma	styleexertion	herkoAbsol	posicionestilo	herkoRela	longcor	anchcor	longP	anchP
B	B8	BL	B8BL	20	E	3.44	3.44	0	MA	0	24.52	2.19	4.21	11.93
B	B8	BL	B8BL		E	1.75	1.75	0.95	DE	-0.95	27.86	2.05	10.53	10.54
B	B8	BL	B8BL		E	1.8	1.8	1.4	DE	-1.4	28.36	2.4	10.96	7.82
B	B8	BL	B8BL		E	3.74	3.74	0	MA	0	24.22	1.7	7.67	5.03
B	B9	BL	B9BL	10	E	4.46	4.46	0	MA	0	19.52	1.76	6.25	4.66
B	B9	BL	B9BL		E	5.09	5.09	2.77	EE	2.77	18.84	1.77	5.6	5.63
B	B9	BL	B9BL		E	5.67	5.67	3.53	EE	3.53	21.76	1.98	3.98	5.05
B	B9	BL	B9BL		E	5.96	5.96	5.24	EE	5.24	19.24	1.77	6.44	5.58
B	B10	RJ	B10RJ	6	E	5.82	5.82	1.01	EE	1.01	18	1.4	7.22	7.35
B	B10	RJ	B10RJ		E	3.07	3.07	2.68	DE	-2.68	25.63	1.92	9.73	8.91
B	B10	RJ	B10RJ		AP	0	0	7.17	DE	-7.17	31.63	2.17	10.52	9.92
B	B10	RJ	B10RJ		E	1.66	1.66	3.75	DE	-3.75	29.35	2.07	10.3	9.29
B	B10	BL	B10BL	5	AP	0	0	6.81	DE	-6.81	28.76	2.2	9.8	8.2
B	B10	BL	B10BL		E	1.71	1.71	9.04	DE	-9.04	28.49	1.59	11.25	9.14
B	B10	AM	B10AM	5	AP	0	0	5.43	DE	-5.43	26.82	2.31	9.14	8.49
B	B10	AM	B10AM		AP	0	0	5.85	DE	-5.85	27.89	1.99	9.56	7.77
B	B12	RJ	B12RJ	6	D	1.42	-1.42	9.24	DE	-9.24	33.49	2.4	11.76	10.54
B	B12	RJ	B12RJ		D	1.62	-1.62	9.92	DE	-9.92	33.02	2.32	12.77	10.3
B	B12	RJ	B12RJ		D	1.9	-1.9	8.98	DE	-8.98	34.42	2.35	12.52	9.8
B	B12	RJ	B12RJ		D	1.38	-1.38	9.47	DE	-9.47	34.32	2.38	12.06	9.96
B	B12	AZ	B12AZ	6	D	1.36	-1.36	9.78	DE	-9.78	32.97	2.24	13.28	10.47
B	B12	AZ	B12AZ		D	2.8	-2.8	8.96	DE	-8.96	29.01	2.44	9.18	9.5
B	B12	AZ	B12AZ		D	1.73	-1.73	9.04	DE	-9.04	27.63	2.07	7.31	6.23
B	B12	AZ	B12AZ		AP	0	0	5.09	DE	-5.09	29.65	2.2	8.83	8.42
B	B12	RS	B12RS	24	AP	0	0	4.11	DE	-4.11	28.13	1.31	9.65	5.95
B	B12	RS	B12RS		AP	0	0	4.57	DE	-4.57	25.97	1.69	8.82	6.79
B	B12	RS	B12RS		AP	0	0	4.82	DE	-4.82	27.83	1.75	9.91	8.22
B	B12	RS	B12RS		E	0.44	0.44	5.11	DE	-5.11	26.56	1.54	8.89	7.35
B	B12	AM	B12AM	18	AP	0	0	7.82	DE	-7.82	28.69	1.89	10.88	5.99
B	B12	AM	B12AM		E	5.81	5.81	1.9	EE	1.9	21.33	1.41	7.23	5.87
B	B12	AM	B12AM		E	2.41	2.41	4.27	DE	-4.27	25.95	2.12	9.58	6.51
B	B12	AM	B12AM		AP	0	0	4.72	DE	-4.72	27.27	2.06	10.95	7.91
B	B12	BL	B12BL	28	AP	0	0	9.03	DE	-9.03	32.4	2.2	13.32	11.02
B	B12	BL	B12BL		D	0.91	-0.91	9.48	DE	-9.48	33.05	2.14	14.95	12.53
B	B12	BL	B12BL		AP	0	0	1.93	DE	-1.93	29.67	1.5	5.9	6.87
B	B12	BL	B12BL		AP	0	0	7.18	DE	-7.18	28.24	1.65	7.34	7.61
B	B16	AM	B16AM	6	E	5.19	5.19	2.66	DE	-2.66	30.49	1.74	12.58	9.03
B	B16	AM	B16AM		E	4.13	4.13	1.88	DE	-1.88	31.24	1.94	13.52	9.82
B	B16	AM	B16AM		E	5.89	5.89	0	MA	0	29.32	1.89	14.6	8.26
B	B16	AM	B16AM		E	4.46	4.46	2.22	DE	-2.22	30.24	1.86	12.3	9.21
B	B16	BL	B16BL	12	E	4.76	4.76	0	MA	0	28.49	2.26	11.18	9.09
B	B16	BL	B16BL		E	5.36	5.36	1.73	DE	-1.73	29.05	2.03	13.13	8.11
B	B16	BL	B16BL		E	5.02	5.02	2.95	DE	-2.95	26.42	1.98	12.47	8.44
B	B16	BL	B16BL		E	4.65	4.65	3.71	DE	-3.71	27.64	2.12	10.23	9
